Date,Open,High,Low,Close,Adj Close,Volume
2015-03-20,5.8525,5.9025,5.7975,5.8675,5.664863,46208400
2015-03-23,5.6925,5.7675,5.675,5.6775,5.481425,42601200
2015-03-24,5.66,5.7,5.575,5.6,5.406601,33048000
2015-03-25,5.5975,5.5975,5.2425,5.26,5.078343,54255200
2015-03-26,5.1525,5.265,5.115,5.2425,5.061446,31192000
2015-03-27,5.2725,5.365,5.1875,5.345,5.160405,31828800
2015-03-30,5.37,5.395,5.3,5.3675,5.18213,25325200
2015-03-31,5.3525,5.3575,5.2275,5.2325,5.051793,35727600
2015-04-01,5.2525,5.27,5.1625,5.2525,5.071102,33076800
2015-04-02,5.2825,5.2975,5.22,5.265,5.083171,19220400
2015-04-06,5.2425,5.435,5.1875,5.4175,5.230403,51586400
2015-04-07,5.4175,5.525,5.3875,5.465,5.276264,41396400
2015-04-08,5.47,5.525,5.4175,5.505,5.314882,36643200
2015-04-09,5.4625,5.65,5.46,5.6325,5.437978,37943200
2015-04-10,5.6375,5.6925,5.6175,5.69,5.493493,25872800
2015-04-13,5.6775,5.71,5.6125,5.6375,5.442805,23672400
2015-04-14,5.615,5.6375,5.535,5.59,5.396945,22027600
2015-04-15,5.605,5.7,5.5775,5.6575,5.462115,24356000
2015-04-16,5.625,5.6725,5.5825,5.6225,5.428324,15528400
2015-04-17,5.505,5.605,5.5025,5.55,5.358328,29363600
2015-04-20,5.575,5.61,5.5125,5.5225,5.331778,23162400
2015-04-21,5.59,5.59,5.4875,5.515,5.324536,23045600
2015-04-22,5.5475,5.585,5.4625,5.5775,5.38488,20742000
2015-04-23,5.475,5.6075,5.4125,5.555,5.363155,25938000
2015-04-24,5.5525,5.555,5.445,5.5075,5.317296,24096000
2015-04-27,5.525,5.6475,5.4775,5.55,5.358328,24845600
2015-04-28,5.54,5.5975,5.4875,5.5775,5.38488,23448400
2015-04-29,5.5375,5.5925,5.5125,5.535,5.343846,19515600
2015-04-30,5.5075,5.5775,5.495,5.55,5.358328,21884400
2015-05-01,5.595,5.705,5.57,5.6875,5.491079,25696800
2015-05-04,5.6825,5.72,5.635,5.6525,5.457288,20072000
2015-05-05,5.6325,5.64,5.4825,5.5075,5.317296,29292800
2015-05-06,5.5375,5.59,5.4525,5.525,5.334193,31648400
2015-05-07,5.5025,5.64,5.485,5.6225,5.428324,53456400
2015-05-08,5.2525,5.46,5.1225,5.2075,5.027657,114655200
2015-05-11,5.135,5.21,5.095,5.1575,4.979382,54414400
2015-05-12,5.12,5.25,5.1175,5.2075,5.027657,38880000
2015-05-13,5.245,5.285,5.1875,5.2375,5.05662,30852400
2015-05-14,5.2525,5.35,5.24,5.3225,5.138685,29305200
2015-05-15,5.345,5.37,5.2925,5.325,5.141098,21582400
2015-05-18,5.3125,5.35,5.2875,5.3175,5.133858,32497200
2015-05-19,5.3,5.3175,5.25,5.26,5.10185,25380800
2015-05-20,5.2625,5.325,5.255,5.26,5.10185,19682400
2015-05-21,5.2625,5.285,5.2175,5.2225,5.065477,23969200
2015-05-22,5.235,5.255,5.2025,5.215,5.058201,21259200
2015-05-26,5.19,5.225,5.1425,5.1825,5.026681,25973200
2015-05-27,5.2175,5.485,5.2,5.46,5.295835,43233200
2015-05-28,5.46,5.5525,5.45,5.535,5.368581,32765600
2015-05-29,5.535,5.57,5.525,5.5325,5.366155,33516800
2015-06-01,5.5675,5.65,5.5325,5.595,5.426777,37266000
2015-06-02,5.56,5.59,5.48,5.485,5.320085,22430400
2015-06-03,5.5,5.5425,5.415,5.425,5.26189,25078800
2015-06-04,5.3925,5.54,5.3925,5.5225,5.356457,32371200
2015-06-05,5.505,5.59,5.4475,5.565,5.397679,31332000
2015-06-08,5.5475,5.585,5.375,5.4375,5.274013,34281200
2015-06-09,5.4425,5.505,5.4325,5.465,5.300687,25688800
2015-06-10,5.4,5.435,5.3375,5.3675,5.206117,52946000
2015-06-11,5.3675,5.4625,5.3675,5.425,5.26189,28305200
2015-06-12,5.39,5.4225,5.265,5.2775,5.118824,32372800
2015-06-15,5.25,5.2925,5.21,5.2675,5.109125,30654800
2015-06-16,5.2575,5.34,5.205,5.3325,5.17217,25689200
2015-06-17,5.33,5.425,5.3175,5.395,5.23279,23354400
2015-06-18,5.44,5.52,5.425,5.485,5.320085,29940400
2015-06-19,5.485,5.53,5.4175,5.4675,5.303111,35565600
2015-06-22,5.4775,5.5075,5.3625,5.445,5.281286,51423600
2015-06-23,5.455,5.4975,5.2625,5.305,5.145497,41406400
2015-06-24,5.2975,5.325,5.2275,5.2525,5.094575,25336800
2015-06-25,5.2525,5.325,5.2525,5.2925,5.133373,35046000
2015-06-26,5.25,5.255,5.1625,5.185,5.029105,42129600
2015-06-29,5.125,5.1775,5.0225,5.03,4.878765,39172400
2015-06-30,5.06,5.0825,4.9925,5.0275,4.876339,31591600
2015-07-01,5.1525,5.225,5.055,5.1,4.946661,30289200
2015-07-02,5.0975,5.1375,5.0725,5.105,4.951509,14576400
2015-07-06,5.0625,5.1325,5.005,5.0425,4.89089,21477600
2015-07-07,5.0125,5.0325,4.79,4.9475,4.798747,59425200
2015-07-08,4.92,4.95,4.8725,4.9125,4.764798,33249200
2015-07-09,4.99,5.0125,4.8225,4.8525,4.7066,35758800
2015-07-10,4.915,4.9825,4.9025,4.9375,4.789045,21670800
2015-07-13,4.9875,4.9975,4.9375,4.97,4.820569,21247200
2015-07-14,4.9775,4.9825,4.9075,4.9725,4.822993,24921600
2015-07-15,4.96,4.9925,4.8925,4.9375,4.789045,26573200
2015-07-16,4.9675,5.0475,4.95,5.0475,4.895739,28284800
2015-07-17,5.03,5.035,4.9525,5.0175,4.866639,22037200
2015-07-20,5.0175,5.0375,4.9125,4.925,4.776922,18841200
2015-07-21,4.915,5.0175,4.915,4.9475,4.798747,14972000
2015-07-22,4.9125,4.9125,4.7925,4.8525,4.7066,35647200
2015-07-23,4.8625,4.985,4.8525,4.9125,4.764798,16991600
