Date,Open,High,Low,Close,Adj Close,Volume
2016-08-10,0.001871,0.001934,0.001861,0.001892,0.001892,34674.0
2016-08-11,0.00189,0.001914,0.001866,0.001889,0.001889,24310.0
2016-08-12,0.001889,0.001893,0.001715,0.001831,0.001831,75248.0
2016-08-13,0.001831,0.002114,0.00181,0.002038,0.002038,224229.0
2016-08-14,0.002042,0.002144,0.001957,0.002005,0.002005,109736.0
2016-08-15,0.001997,0.002066,0.001978,0.002019,0.002019,73171.0
2016-08-16,0.002022,0.002062,0.001944,0.002016,0.002016,35420.0
2016-08-17,0.002016,0.00202,0.001944,0.001993,0.001993,26694.0
2016-08-18,0.001997,0.002013,0.00196,0.001976,0.001976,19780.0
2016-08-19,0.001976,0.001984,0.001931,0.001963,0.001963,17689.0
2016-08-20,0.00197,0.001972,0.001898,0.00193,0.00193,21147.0
2016-08-21,0.00193,0.001954,0.0019,0.001908,0.001908,17520.0
2016-08-22,0.00191,0.001956,0.001899,0.001919,0.001919,13561.0
2016-08-23,0.001924,0.001941,0.001878,0.001878,0.001878,16207.0
2016-08-24,0.001878,0.001912,0.001866,0.001888,0.001888,6614.0
2016-08-25,0.001889,0.001892,0.001861,0.001874,0.001874,10012.0
2016-08-26,0.001856,0.001936,0.001854,0.001888,0.001888,49643.0
2016-08-27,0.001888,0.001913,0.001844,0.001862,0.001862,16953.0
2016-08-28,0.001861,0.001882,0.001743,0.001808,0.001808,47598.0
2016-08-29,0.001819,0.001877,0.001786,0.00183,0.00183,29491.0
2016-08-30,0.00183,0.001883,0.00182,0.00185,0.00185,16263.0
2016-08-31,0.00185,0.001925,0.001822,0.001906,0.001906,28165.0
2016-09-01,0.001906,0.00193,0.001875,0.001887,0.001887,25272.0
2016-09-02,0.001887,0.001913,0.001857,0.001885,0.001885,15997.0
2016-09-03,0.001885,0.001926,0.001846,0.001902,0.001902,16975.0
2016-09-04,0.001903,0.001971,0.001845,0.001934,0.001934,36104.0
2016-09-05,0.001942,0.001951,0.001897,0.001912,0.001912,27785.0
2016-09-06,0.001912,0.00194,0.0019,0.001925,0.001925,14360.0
2016-09-07,0.001925,0.001946,0.001901,0.001925,0.001925,29307.0
2016-09-08,0.001925,0.001989,0.001925,0.001931,0.001931,17422.0
2016-09-09,0.00193,0.002028,0.00191,0.00202,0.00202,51986.0
2016-09-10,0.002003,0.002231,0.001996,0.002032,0.002032,173430.0
2016-09-11,0.002023,0.002081,0.001946,0.001966,0.001966,51896.0
2016-09-12,0.001926,0.001994,0.001896,0.00194,0.00194,25451.0
2016-09-13,0.001941,0.001993,0.001915,0.001951,0.001951,62818.0
2016-09-14,0.001946,0.001977,0.001911,0.001963,0.001963,13081.0
2016-09-15,0.001963,0.002565,0.0019,0.002319,0.002319,555936.0
2016-09-16,0.002304,0.002336,0.002078,0.002082,0.002082,204787.0
2016-09-17,0.002082,0.002198,0.00207,0.002162,0.002162,39093.0
2016-09-18,0.002162,0.002168,0.002082,0.00209,0.00209,57508.0
2016-09-19,0.002089,0.00217,0.002068,0.002127,0.002127,48729.0
2016-09-20,0.002127,0.002131,0.002,0.002052,0.002052,79813.0
2016-09-21,0.002055,0.002119,0.001998,0.002085,0.002085,53003.0
2016-09-22,0.002085,0.002169,0.002062,0.002138,0.002138,67088.0
2016-09-23,0.002138,0.002141,0.002033,0.002083,0.002083,47176.0
2016-09-24,0.002068,0.00232,0.002062,0.002219,0.002219,75069.0
2016-09-25,0.002213,0.002501,0.002167,0.002454,0.002454,366417.0
2016-09-26,0.002459,0.002651,0.002336,0.002385,0.002385,379360.0
2016-09-27,0.002384,0.002601,0.002341,0.002549,0.002549,136361.0
2016-09-28,0.002556,0.003376,0.002443,0.003149,0.003149,1211050.0
2016-09-29,0.003136,0.003314,0.003032,0.003066,0.003066,484615.0
2016-09-30,0.003017,0.003054,0.002799,0.002847,0.002847,320074.0
2016-10-01,0.002839,0.002927,0.002706,0.002763,0.002763,187694.0
2016-10-02,0.002782,0.002995,0.002735,0.002867,0.002867,105129.0
2016-10-03,0.002872,0.002873,0.002708,0.00271,0.00271,83760.0
2016-10-04,0.002705,0.002758,0.002567,0.00259,0.00259,100249.0
2016-10-05,0.00259,0.002604,0.00242,0.002485,0.002485,119902.0
2016-10-06,0.002497,0.00253,0.002282,0.002306,0.002306,108291.0
2016-10-07,0.002306,0.002438,0.00227,0.002374,0.002374,72283.0
2016-10-08,0.002386,0.002388,0.002283,0.002317,0.002317,36449.0
2016-10-09,0.002317,0.002432,0.00224,0.002376,0.002376,167282.0
2016-10-10,0.00238,0.002559,0.002298,0.002466,0.002466,119501.0
2016-10-11,0.002467,0.003094,0.002361,0.002679,0.002679,429422.0
2016-10-12,0.002678,0.002742,0.002628,0.002637,0.002637,76408.0
2016-10-13,0.002637,0.002662,0.002482,0.002539,0.002539,52851.0
2016-10-14,0.002536,0.002537,0.002377,0.002479,0.002479,100389.0
2016-10-15,0.002479,0.002509,0.002412,0.002439,0.002439,14235.0
2016-10-16,0.002437,0.002496,0.0024,0.002418,0.002418,57966.0
2016-10-17,0.002419,0.002434,0.00227,0.002291,0.002291,58355.0
2016-10-18,0.00229,0.002419,0.002284,0.002388,0.002388,31261.0
2016-10-19,0.002388,0.002411,0.002257,0.002339,0.002339,61624.0
2016-10-20,0.002336,0.002708,0.002336,0.00267,0.00267,245923.0
2016-10-21,0.002668,0.002703,0.002399,0.002476,0.002476,184807.0
2016-10-22,0.00247,0.002521,0.002353,0.002407,0.002407,80103.0
2016-10-23,0.002409,0.002464,0.002376,0.002438,0.002438,23756.0
2016-10-24,0.002439,0.002504,0.002416,0.002471,0.002471,48913.0
2016-10-25,0.002471,0.002478,0.002334,0.002357,0.002357,68368.0
2016-10-26,0.002358,0.00238,0.002273,0.002338,0.002338,53832.0
2016-10-27,0.002337,0.002364,0.002097,0.002176,0.002176,159436.0
2016-10-28,0.002145,0.002222,0.002058,0.002095,0.002095,64020.0
2016-10-29,0.002095,0.002137,0.001882,0.001957,0.001957,201667.0
2016-10-30,0.001964,0.00214,0.001932,0.002127,0.002127,80875.0
2016-10-31,0.002119,0.002167,0.001986,0.002088,0.002088,88239.0
2016-11-01,0.002088,0.002088,0.001929,0.001976,0.001976,39128.0
2016-11-02,0.001977,0.002069,0.001952,0.002023,0.002023,43064.0
2016-11-03,0.002014,0.002072,0.001963,0.001994,0.001994,54324.0
2016-11-04,0.001991,0.002027,0.001959,0.001999,0.001999,18107.0
2016-11-05,0.002003,0.002032,0.00198,0.002021,0.002021,11174.0
2016-11-06,0.002021,0.002058,0.001867,0.001959,0.001959,58461.0
2016-11-07,0.001969,0.002029,0.001924,0.002013,0.002013,34635.0
2016-11-08,0.002013,0.002029,0.001965,0.001986,0.001986,30553.0
2016-11-09,0.001994,0.002014,0.001938,0.001968,0.001968,44284.0
2016-11-10,0.001968,0.002003,0.001928,0.001948,0.001948,36825.0
2016-11-11,0.001948,0.001992,0.001897,0.001913,0.001913,38438.0
2016-11-12,0.001913,0.001924,0.001876,0.001899,0.001899,24842.0
2016-11-13,0.001899,0.001931,0.001878,0.001896,0.001896,30930.0
2016-11-14,0.001895,0.001915,0.001867,0.00188,0.00188,32401.0
2016-11-15,0.001883,0.001884,0.001814,0.001853,0.001853,26787.0
2016-11-16,0.001852,0.001868,0.001756,0.001772,0.001772,43749.0
2016-11-17,0.001775,0.00186,0.001734,0.00182,0.00182,74554.0
2016-11-18,0.001812,0.001832,0.001757,0.001807,0.001807,21364.0
2016-11-19,0.001806,0.001829,0.001756,0.001796,0.001796,9237.0
2016-11-20,0.001797,0.001806,0.001753,0.00176,0.00176,17977.0
2016-11-21,0.00176,0.001798,0.001745,0.001755,0.001755,4925.0
2016-11-22,0.001755,0.001797,0.001712,0.001735,0.001735,32403.0
2016-11-23,0.001727,0.001753,0.001719,0.001733,0.001733,21588.0
2016-11-24,0.001733,0.001741,0.001687,0.001691,0.001691,35768.0
2016-11-25,0.001691,0.001729,0.001672,0.001722,0.001722,13354.0
2016-11-26,0.001717,0.001717,0.001605,0.001649,0.001649,31598.0
2016-11-27,0.001649,0.001688,0.001642,0.001665,0.001665,7384.0
2016-11-28,0.001665,0.001694,0.001653,0.001655,0.001655,13301.0
2016-11-29,0.001655,0.001691,0.001636,0.001667,0.001667,9853.0
2016-11-30,0.001666,0.001688,0.001613,0.001629,0.001629,15505.0
2016-12-01,0.001629,0.001672,0.001543,0.001619,0.001619,60747.0
2016-12-02,0.00162,0.001621,0.001487,0.001529,0.001529,29715.0
2016-12-03,0.001529,0.001606,0.001513,0.001592,0.001592,29495.0
2016-12-04,0.001592,0.001597,0.001532,0.001532,0.001532,8556.0
2016-12-05,0.001532,0.001557,0.001512,0.001542,0.001542,17747.0
2016-12-06,0.001542,0.002824,0.001458,0.002666,0.002666,856036.0
2016-12-07,0.002653,0.003141,0.001993,0.002767,0.002767,2369690.0
2016-12-08,0.002749,0.00291,0.00231,0.002421,0.002421,1531460.0
2016-12-09,0.002444,0.002615,0.002327,0.002545,0.002545,519467.0
2016-12-10,0.002587,0.002587,0.002199,0.002233,0.002233,481548.0
2016-12-11,0.002204,0.002418,0.002136,0.002353,0.002353,306783.0
2016-12-12,0.002353,0.002418,0.002214,0.002272,0.002272,230324.0
2016-12-13,0.002265,0.002301,0.002088,0.002158,0.002158,207838.0
2016-12-14,0.002163,0.002217,0.002104,0.00215,0.00215,83790.0
2016-12-15,0.002151,0.003013,0.0021,0.002802,0.002802,673328.0
2016-12-16,0.002821,0.003149,0.002752,0.003123,0.003123,1241390.0
2016-12-17,0.003129,0.003139,0.002749,0.002772,0.002772,350471.0
2016-12-18,0.002772,0.002958,0.002759,0.0029,0.0029,142791.0
2016-12-19,0.002901,0.002937,0.002785,0.002868,0.002868,125139.0
2016-12-20,0.002867,0.00304,0.002835,0.002836,0.002836,130279.0
2016-12-21,0.002842,0.002947,0.002765,0.00281,0.00281,123212.0
2016-12-22,0.002824,0.002873,0.002446,0.002751,0.002751,195628.0
2016-12-23,0.002757,0.002857,0.002477,0.002646,0.002646,176957.0
2016-12-24,0.002579,0.00276,0.002564,0.002691,0.002691,53322.0
2016-12-25,0.002692,0.00272,0.002559,0.002578,0.002578,29175.0
2016-12-26,0.002578,0.002696,0.002569,0.002657,0.002657,23143.0
2016-12-27,0.002658,0.002747,0.002432,0.002543,0.002543,126849.0
2016-12-28,0.002552,0.002553,0.002406,0.002509,0.002509,66923.0
2016-12-29,0.00251,0.002603,0.002309,0.002559,0.002559,144014.0
2016-12-30,0.002559,0.00258,0.002479,0.002544,0.002544,55768.0
2016-12-31,0.002545,0.002545,0.002426,0.002469,0.002469,43346.0
2017-01-01,0.002464,0.002575,0.002432,0.002481,0.002481,39325.0
2017-01-02,0.002475,0.002537,0.002425,0.002477,0.002477,46380.0
2017-01-03,0.002499,0.002561,0.002449,0.002554,0.002554,39944.0
2017-01-04,0.002553,0.002787,0.002541,0.002735,0.002735,85385.0
2017-01-05,0.002737,0.002826,0.002387,0.002598,0.002598,208399.0
2017-01-06,0.002606,0.002671,0.002296,0.002494,0.002494,121804.0
2017-01-07,0.002497,0.002512,0.002264,0.002396,0.002396,74459.0
2017-01-08,0.002396,0.002436,0.002332,0.002355,0.002355,26202.0
2017-01-09,0.002357,0.002381,0.002309,0.002347,0.002347,36858.0
2017-01-10,0.002346,0.002378,0.002323,0.002355,0.002355,24044.0
2017-01-11,0.002355,0.002381,0.002059,0.002089,0.002089,168734.0
2017-01-12,0.00208,0.002512,0.002047,0.002475,0.002475,196679.0
2017-01-13,0.002459,0.00249,0.002316,0.002398,0.002398,88948.0
2017-01-14,0.002378,0.002488,0.002358,0.002472,0.002472,65155.0
2017-01-15,0.002458,0.002492,0.002377,0.002441,0.002441,50895.0
2017-01-16,0.002441,0.002483,0.002334,0.00238,0.00238,49556.0
2017-01-17,0.00238,0.002558,0.00237,0.002545,0.002545,52442.0
